probe	coef
cg11719412	-0.071714062
cg12024906	0.05166947
cg12100751	0.08174288
cg12175729	0.071323769
cg12423733	-0.065370267
cg12591491	0.244213761
cg12597389	0.558317497
cg12637942	0.170557965
cg12950231	-0.065643512
cg12978800	-0.181821093
cg13099374	-0.047396407
cg13259357	0.036880228
cg13298199	-0.097126352
cg13308350	-0.206851722
cg13327545	0.172021866
cg13477806	0.033485776
cg13718185	-0.002466109
cg13733708	-0.002744096
cg13744194	0.090109789
cg13755546	0.162177579
cg13806267	0.026012117
cg13848598	0.31150974
cg14189141	0.144865261
cg14242024	-0.089108711
cg14343652	-0.49161137
cg14489570	-0.066835301
cg14507337	0.046594026
cg14577472	0.048497395
cg14611683	0.054820768
cg14655122	0.241709503
cg14704921	0.215106238
cg14759277	0.111320517
cg14871932	0.108680661
cg15001747	0.432983644
cg15022387	0.04441422
cg15341124	0.902436331
cg15393490	-0.841071848
cg15410236	0.213896475
cg15540623	-0.261520681
cg15593298	0.337735063
cg15638207	-0.691668051
cg15665342	-0.06055964
cg15718663	0.117060673
cg15925792	-0.307195969
cg15927455	-0.358499553
cg15974867	0.023149565
cg15988970	-0.006427808
cg16121765	-0.012358857
cg16142349	-0.256850705
cg16148593	-0.098152769
cg16206504	-0.008312353
cg16339238	0.001434448
cg16340422	-0.029264738
cg16359034	-0.046192309
cg16408865	-0.123481639
cg16604975	0.01666265
cg16643261	-0.118551577
cg16703882	0.096620463
cg16865965	-0.041704502
cg16867657	0.197386432
cg16909962	0.266182424
cg17040471	0.018000266
cg17086398	-0.214614359
cg17117277	0.414465437
cg17341113	1.440065793
cg17411994	-0.076299374
cg17435266	0.061619052
cg17523253	-0.06705541
cg17592231	0.687990311
cg17640485	-0.312953939
cg17693222	0.003181754
cg18077971	0.086730202
cg18125865	0.658401837
cg18247055	0.019994142
cg18279094	0.356567111
cg18427787	-0.044144839
cg18449120	0.005003539
cg18468088	0.229813837
cg18480946	0.009799052
cg18504218	-0.008073014
cg18514820	0.222867313
cg18540328	0.022613229
cg18549036	0.000408849
cg18584803	-0.197692112
cg18604199	-0.052189228
cg18626323	-0.030384108
cg19028706	-0.090170415
cg19056004	-0.043383021
cg19142026	0.246874371
cg19230755	0.002768371
cg19242851	-0.170816868
cg19399220	0.231675157
cg19416570	0.21729811
cg19699893	0.135487257
cg19724470	-0.049692798
cg19802138	0.01144858
cg19807317	-0.054672114
cg19955173	-0.067590082
cg20185454	0.185590606
cg20198242	-0.005813388
cg20429250	0.022173014
cg20495179	-0.342207848
cg20516262	-0.003674058
cg20583430	0.044656352
cg20594982	0.200601432
cg20603637	0.041234587
cg20627572	-0.037940997
cg20697204	0.041332357
cg20747577	-0.006725656
cg20773033	-0.205063043
cg20818778	0.035895317
cg21010435	0.001275668
cg21052766	-0.023206487
cg21186299	0.054653178
cg21218687	0.12544553
cg21415530	0.009759118
cg21581504	0.103142053
cg21801378	0.301919395
cg21826815	0.149087391
cg21851534	-0.036572141
cg21865150	-0.002438052
cg21967909	0.137783559
cg22007809	-0.091951216
cg22131013	-0.021374124
cg22285878	0.490924308
cg22320999	-0.014122737
cg22344793	0.009014155
cg22363327	0.063760495
cg22531668	0.036173432
cg22661556	0.103520468
cg22714290	-0.050759947
cg22884541	0.144178219
cg22900415	0.043514026
cg23051272	-0.069814863
cg23091758	0.116853023
cg23124451	-0.367663333
cg23163283	-0.116628053
cg23166770	-0.405540537
cg23174607	0.470227184
cg23201812	-0.004350609
cg23352942	-0.070936146
cg23474190	-0.099212341
cg23606718	0.252157086
cg23636833	0.054099787
cg23661344	-0.095384134
cg23662138	-0.145369611
cg23684204	0.366563756
cg23813012	0.096458406
cg23896431	0.108348185
cg23939875	-0.002746886
cg23995914	0.130590756
cg24085039	-0.026647568
cg24231804	-0.061066503
cg24287218	-0.057864029
cg24346776	0.036889653
cg24377285	-0.003462555
cg24420164	0.01149875
cg24483655	-0.118072377
cg24567591	0.006630225
cg24715767	0.034405952
cg24718465	0.098072283
cg24933925	-0.062670922
cg24990808	-0.041735189
cg25007705	-0.247606637
cg25018458	0.519600776
cg25090514	0.500066598
cg25114611	-0.155884706
cg25201359	-0.39191387
cg25459323	-0.091280366
cg25922329	-0.044903051
cg26092675	0.092832132
cg26115633	0.278014012
cg26161329	0.649836831
cg26242531	-0.343803282
cg26306636	0.672471847
cg26332630	-0.021705484
cg26377000	0.068373707
cg26384036	0.083204891
cg26472036	-0.21594949
cg26490949	0.393728955
cg26542283	0.064606727
cg26645401	0.238064742
cg26660754	-0.387927594
cg26726230	0.081071851
cg26782108	0.093935263
cg26856080	0.254849914
cg26885220	0.157397622
cg26952697	-0.057566273
cg26952796	-0.091658825
cg27013696	0.188907562
cg27043838	0.007320472
cg27134767	-0.128193241
cg27230784	0.11078553
cg27388680	-0.102436573
cg27414487	-0.043387065
cg27529628	0.017786933
ch.2.1904845F	-0.120151361
ch.2.71774667F	-0.269935435
